source,target,flow
6037,6059,19238
6059,6037,16554
12086,12011,15819
6037,6071,15750
36061,36047,13159
48201,48157,12948
36047,36081,11611
12011,12086,10744
6037,6065,9230
53033,53061,9061
36081,36047,8639
36047,36061,8488
36061,36005,8383
25025,25017,8264
24510,24005,8207
48201,48339,7958
36081,36059,7733
53033,53053,7324
12011,12099,7318
6059,6065,7254
36061,36081,7195
6001,6013,7107
25017,25025,6832
53061,53033,6757
24005,24510,6706
12117,12095,6151
36005,36061,5945
12099,12011,5697
53053,53033,5640
6073,6065,5495
6075,6001,5429
6037,6111,5412
6013,6001,5395
36059,36103,5374
36081,36061,5373
6037,6073,5334
25025,25021,5205
6073,6037,5139
6085,6001,5104
6037,32003,4999
6075,6081,4908
11001,24033,4845
41051,41005,4700
42101,42091,4600
25017,25009,4598
36059,36081,4468
6111,6037,4453
12057,12103,4423
12057,12101,4410
48201,48167,4240
25021,25025,4071
24033,24031,4020
41051,41067,4020
36005,36119,3957
24033,11001,3934
48201,48039,3927
12086,48453,3855
36103,36059,3819
6085,6081,3787
6001,6085,3787
12103,12057,3768
42101,42045,3753
6081,6075,3681
25009,25017,3565
6059,6073,3494
48201,48453,3477
48167,48201,3466
22071,22051,3426
25021,25017,3405
6081,6085,3381
25017,25027,3376
12101,12057,3336
48039,48201,3318
25017,25021,3316
36047,36005,3240
6073,6059,3173
22051,22071,3112
6001,6075,3099
34017,34003,3041
25021,25023,3011
6059,6071,3003
9001,9009,2988
42045,42101,2979
6081,6001,2962
11001,24031,2950
42101,42017,2890
6037,48453,2886
36061,36119,2815
6085,6075,2798
36081,36005,2790
36047,36085,2754
12031,12019,2730
36061,34017,2679
34013,34039,2641
12019,12031,2634
6037,4013,2608
36005,36047,2608
42017,42091,2588
36005,36081,2563
12031,12109,2536
34031,34003,2528
12103,12101,2520
45019,45015,2491
6037,6029,2484
34003,34031,2467
12115,12081,2466
9009,9001,2464
34025,34029,2439
6001,6077,2402
36061,6037,2392
36119,36061,2377
36119,36005,2373
36081,36103,2355
34023,34035,2342
12086,12099,2325
41051,53011,2279
24033,24003,2270
36059,36061,2234
34007,34005,2232
42017,42101,2229
6075,6013,2202
12011,48453,2195
25023,25021,2194
36047,36059,2160
34007,34015,2129
34003,34017,2127
12081,12115,2119
25025,25009,2085
34005,34007,2069
12109,12031,2063
45015,45019,2061
44007,44003,2057
34017,34013,2045
34029,34025,2026
12021,12071,2003
36061,36059,1969
34039,34013,1952
6037,6001,1933
12101,12103,1930
6037,6085,1900
36119,9001,1891
6037,6075,1888
6001,6081,1882
34039,34023,1869
34023,34025,1858
36103,36081,1855
34017,36061,1851
34035,34023,1841
48201,48113,1830
6075,6037,1823
25023,25005,1817
9009,9003,1813
6073,4013,1812
45019,45035,1799
34015,34007,1794
9003,9013,1793
6037,36061,1790
12069,12095,1781
6075,6085,1774
44003,44007,1764
6013,6095,1748
12099,12086,1733
24005,24025,1727
12117,12127,1705
24033,24017,1699
12071,12021,1675
12057,12105,1672
25009,33015,1644
42045,42029,1643
6001,6037,1630
6013,6075,1622
34023,34039,1621
25009,25025,1608
33015,33011,1591
36001,36083,1591
36061,34003,1583
24003,24033,1578
53053,53067,1577
6037,53033,1572
45035,45019,1566
11001,51013,1555
25017,33011,1554
53011,41051,1543
9003,9009,1538
53067,53053,1532
6075,6041,1528
25021,25005,1518
34013,34017,1480
36047,6037,1479
36085,36047,1472
24005,24003,1462
34025,34023,1454
25005,25023,1451
48201,48029,1447
36059,36047,1444
36061,9001,1437
6085,6037,1432
6073,32003,1417
36083,36001,1417
9001,36061,1415
12033,12113,1414
24003,24005,1408
34003,36061,1399
12127,12117,1381
36061,6075,1376
6059,32003,1364
24025,24005,1364
23005,23031,1355
45015,45035,1351
24510,24003,1344
25025,25023,1335
12086,12095,1324
24005,24027,1313
45035,45015,1310
12011,12095,1307
6073,6071,1305
11001,51059,1297
6081,6013,1294
6085,6013,1286
34013,34027,1280
12113,12033,1279
6085,6087,1273
36103,36061,1273
6095,6013,1271
42101,34007,1254
24003,24510,1247
53033,6037,1245
42045,42091,1242
12057,48453,1240
34017,34023,1238
6085,6077,1233
12099,48453,1224
12085,12111,1214
6037,48201,1211
6059,4013,1210
36047,36103,1205
24003,24027,1203
34031,34013,1198
22033,22063,1185
23031,23005,1177
6001,6067,1176
48245,48201,1171
9003,9007,1165
12099,12111,1161
36061,36103,1156
34023,34021,1152
24017,24033,1148
25005,25021,1140
6037,17031,1136
36047,34017,1135
24033,24027,1134
34017,34039,1134
12099,12085,1128
